1,2,3,4,5,6,7,8
90,85,0,0,90,0,0,0
90,85,0,0,90,0,0,0
90,85,0,0,90,0,0,0
90,85,0,0,90,0,0,0
90,85,0,0,90,0,0,0
90,113,20,52,120,20,70,0
90,113,20,52,120,20,70,0
90,113,20,52,120,20,70,0
90,113,20,52,120,20,70,0
90,66,20,52,70,20,70,0
90,66,20,52,70,20,70,0
90,66,20,52,70,20,70,0
90,66,20,52,70,20,70,0
90,113,20,52,120,20,70,0
90,113,20,52,120,20,70,0
90,113,20,52,120,20,70,0
90,113,20,52,120,20,70,0
90,66,20,52,70,20,70,0
90,66,20,52,70,20,70,0
90,66,20,52,70,20,70,0
90,66,20,52,70,20,70,0
90,85,0,0,0,0,0,0
90,85,0,0,0,0,0,0
